submission_date,state,new_case
11/20/2020,MN,6794
11/21/2020,MN,6252
11/22/2020,MN,7205
11/23/2020,MN,6343
11/24/2020,MN,6416
11/25/2020,MN,6387
11/26/2020,MN,0
11/27/2020,MN,5698
11/28/2020,MN,9022
11/29/2020,MN,8946
11/30/2020,MN,5794
12/1/2020,MN,3549
12/2/2020,MN,5165
12/3/2020,MN,6149
12/4/2020,MN,5347
12/5/2020,MN,6308
12/6/2020,MN,5581
12/7/2020,MN,5290
12/8/2020,MN,3051
12/9/2020,MN,4516
12/10/2020,MN,3499
12/11/2020,MN,3750
12/12/2020,MN,4430
12/13/2020,MN,3425
12/14/2020,MN,3018
12/15/2020,MN,2323
12/16/2020,MN,2248
12/17/2020,MN,2759
12/18/2020,MN,2718
12/19/2020,MN,2746
12/20/2020,MN,2684
12/21/2020,MN,1992
12/22/2020,MN,1700
12/23/2020,MN,1508
12/24/2020,MN,1884
12/25/2020,MN,0
12/26/2020,MN,2142
12/27/2020,MN,2516
12/28/2020,MN,1077
12/29/2020,MN,972
12/30/2020,MN,1997
12/31/2020,MN,2195
1/1/2021,MN,0
1/2/2021,MN,2530
1/3/2021,MN,2712
1/4/2021,MN,3144
1/5/2021,MN,1573
1/6/2021,MN,2326
1/7/2021,MN,1983
1/8/2021,MN,2374
1/9/2021,MN,2469
1/10/2021,MN,2159
1/11/2021,MN,980
1/12/2021,MN,1315
1/13/2021,MN,1487
1/14/2021,MN,1581
1/15/2021,MN,1627
1/16/2021,MN,1485
1/17/2021,MN,1333
1/18/2021,MN,969
1/19/2021,MN,919
1/20/2021,MN,1224
1/21/2021,MN,1270
1/22/2021,MN,1506
1/23/2021,MN,1540
1/24/2021,MN,1181
1/25/2021,MN,794
1/26/2021,MN,707
1/27/2021,MN,827
1/28/2021,MN,1316
1/29/2021,MN,1114
1/30/2021,MN,1072
1/31/2021,MN,988
2/1/2021,MN,721
2/2/2021,MN,604
2/3/2021,MN,634
2/4/2021,MN,1410
2/5/2021,MN,1048
2/6/2021,MN,993
2/7/2021,MN,901
2/8/2021,MN,564
2/9/2021,MN,572
2/10/2021,MN,651
2/11/2021,MN,898
2/12/2021,MN,1048
2/13/2021,MN,940
2/14/2021,MN,776
2/15/2021,MN,602
2/16/2021,MN,452
2/17/2021,MN,758
2/18/2021,MN,913
2/19/2021,MN,995
2/20/2021,MN,870
2/21/2021,MN,879
